Item Name,SKU,Image,Manufacturer,URL,Purchase Price,43%,Description,Lowes,Price
,,https://mobileimages.lowes.com/productimages/434bcc0d-8e46-4171-9f3a-8b158cbf509b/00678556.jpg,Charlotte Pipe,https://www.lowes.com/pd/charlotte-pipe-2-in-x-10-ft-280-psi-schedule-40-pvc-pipe/3133041,,,,,
,,https://mobileimages.lowes.com/productimages/434bcc0d-8e46-4171-9f3a-8b158cbf509b/00678556.jpg,Charlotte Pipe,https://www.lowes.com/pd/charlotte-pipe-1-12-in-x-10-ft-330-psi-schedule-40-pvc-pipe/3133037,,,,,
