Purchase Price,SKU,Image,Manufacturer,URL,Sale Price,Price,Description,Markup,Item Type,Item Name
0.00,187393,https://images.thdstatic.com/productImages/7760f56a-805d-4931-8b7c-08ef8e4515d2/svn/framing-lumber-2395-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-16-ft-2-Standard-Grade-Fir-Lumber-2395/316719180,0.00,0.00,"Every piece meets the highest grading standards for strength and appearance. Dimensional lumber is ideal for a wide range of structural and nonstructural applications including framing of houses, barns, sheds and commercial construction. It can also be used for projects such as furniture and hobbies and comes in a variety of widths and lengths.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 16 ft. #2 Standard Grade Fir Lumber
0.00,200492,https://images.thdstatic.com/productImages/6cf6424d-f600-4c4a-aa4a-e9a8a4036f99/svn/framing-lumber-00169-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-16-ft-2-Standard-Grade-GDF-Dimensional-Lumber-00169/310242193,0.00,0.00,"Green Doug Fir is a straight grained and resilient timber with high strength to weight ratio as well as quick availability and ease of use. Its light rosy color is set off by a remarkably straight grain pattern making it a premium building product specified by architects, engineers and builders for a wide range of construction applications. Weyerhaeuser's precision manufacturing, process control and mill direct supply give you consistent, reliable lumber, delivered when you need it, where you want it.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 16 ft. #2 Standard Grade GDF Dimensional Lumber
0.00,714771,https://images.thdstatic.com/productImages/bc27550b-6f70-4911-8e60-3f7c8f0aed7a/svn/framing-lumber-714771-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-20-ft-2-Premium-Grade-Fir-Dimensional-Lumber-714771/202094204,0.00,0.00,"Every piece of 2 in. x 12 in. x 20 ft. Premium #2 and Better  Fir Lumber meets high grading standards for strength and appearance, and is easy to cut, fasten and paint, making this the best choice for many building projects. This product is third-party certified, signifying sourcing from renewable and environmentally managed forests.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 20 ft. #2 Premium Grade Fir Dimensional Lumber
0.00,713854,https://images.thdstatic.com/productImages/3ae69652-282b-42a0-96fa-8465bed0c555/svn/framing-lumber-713854-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-20-ft-2-Premium-Grade-Southern-Yellow-Pine-Dimensional-Lumber-713854/202085944,0.00,0.00,"Every piece of 2 in. x 12 in. x 20 ft. #2 Prime Kiln Dried Southern Yellow Pine Lumber meets high grading standards for strength and appearance, and is easy to cut, fasten and paint, making this the best choice for many building projects. This product is third-party certified, signifying sourcing from renewable and environmentally managed forests.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 20 ft. #2 Premium Grade Southern Yellow Pine Dimensional Lumber
0.00,1010896189,https://images.thdstatic.com/productImages/880cca39-c8df-4f12-a0aa-b48636f46c42/svn/framing-lumber-0108520-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-20-ft-FIR-2-Standard-Grade-Dimensional-Lumber-0108520/323153010,0.00,0.00,"Every-piece meets the highest grading standards for strength and appearance. Dimensional lumber is ideal for a wide range of structural and nonstructural applications including framing of houses, barns, sheds and commercial construction. Dimensional lumber comes in a variety of widths and lengths to meet all your construction needs.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 20 ft. FIR #2 Standard Grade Dimensional Lumber
0.00,1010839669,https://images.thdstatic.com/productImages/880cca39-c8df-4f12-a0aa-b48636f46c42/svn/framing-lumber-0108522-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-22-ft-FIR-2-Standard-Grade-Dimensional-Lumber-0108522/323153012,0.00,0.00,"Every-piece meets the highest grading standards for strength and appearance. Dimensional lumber is ideal for a wide range of structural and nonstructural applications including framing of houses, barns, sheds, and commercial construction. Dimensional lumber comes in a variety of widths and lengths to meet all your construction needs.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 22 ft. FIR #2 Standard Grade Dimensional Lumber
0.00,511889,https://images.thdstatic.com/productImages/049904c7-cf55-4ae0-a281-5afd3344de0a/svn/framing-lumber-0122524-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-24-ft-FIR-2-Standard-Grade-Dimensional-Lumber-0122524/202088985,0.00,0.00,"Hem-Fir is useful for a variety of general-purpose framing applications. The material hold nails and screws securely, as works well with a variety of glues and adhesives. Cuts and shapes with standard woodworking tools.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 24 ft. FIR #2 Standard Grade Dimensional Lumber
0.00,1006805694,https://images.thdstatic.com/productImages/271d0477-e775-4c50-aba8-63faea4048c7/svn/framing-lumber-2265-24-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-24-ft-GDF-2-Standard-Grade-Dimensional-Lumber-2265-24/318033455,0.00,0.00,"Every piece meets the highest grading standards for strength and appearance. Dimensional lumber is ideal for a wide range of structural and nonstructural applications including framing of houses, barns, sheds, and commercial construction. It can also be used for projects such as furniture and hobbies, and comes in a variety of widths and lengths. Dimensional lumber can also be used in exterior applications as long as it is properly primed and painted or sealed and stained.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 24 ft. GDF #2 Standard Grade Dimensional Lumber
0.00,1010870778,https://images.thdstatic.com/productImages/b3361e02-d8fd-4567-b412-a554c677032d/svn/framing-lumber-0101526-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-26-ft-GDF-2-Standard-Grade-Dimensional-Lumber-0101526/328767793,0.00,0.00,"The Better Douglas Green Fir Lumber has versatile applications and is easy to work with. Use it for your framing applications or for floor joists, truss work and wall panels. It also makes great use in stair components. The lumber material ensures minimum waning and warping. Easy to paint, stain and cut, these fir lumber units are a perfect choice if you are looking for consistent appearance and efficient utilization.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 26 ft. GDF #2 Standard Grade Dimensional Lumber
0.00,707195,https://images.thdstatic.com/productImages/bc27550b-6f70-4911-8e60-3f7c8f0aed7a/svn/framing-lumber-707195-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-8-ft-2-Premium-Grade-Fir-Dimensional-Lumber-707195/202094201,0.00,0.00,"Every piece of 2 in. x 12 in. x 8 ft. Premium #2 and Better Fir Lumber meets high grading standards for strength and appearance and is easy to cut, fasten and paint, making this the best choice for many building projects. This product is third-party certified, signifying sourcing from renewable and environmentally managed forests.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 8 ft. #2 Premium Grade Fir Dimensional Lumber
